Конфигурация,fail_limit,strategy,max_neighbors,H3,H6,Precision@10,Recall@10,F1@10,Пользователей
A1: fail_limit = 1,1,greedy,,выкл,выкл,0.0,0.0,0,94
A2: fail_limit = 3 (базовый),3,greedy,,выкл,выкл,0.0,0.0,0,94
A3: fail_limit = 5,5,greedy,,выкл,выкл,0.0,0.0,0,94
A4: fail_limit = 10,10,greedy,,выкл,выкл,0.0,0.0,0,94
A5: fail_limit = ∞ (без лимита),999999,greedy,,выкл,выкл,0.0,0.0,0,94
B1: Случайная стратегия,3,random,,выкл,выкл,0.0,0.0,0,94
C1: С H3 (сильные прослушивания),3,greedy,,вкл,выкл,0.0,0.0,0,94
C2: С H6 (асимметрия),3,greedy,,выкл,вкл,0.0,0.0,0,94
C3: Все гипотезы (H1-H6),3,greedy,,вкл,вкл,0.0,0.0,0,94
D1: max_neighbors = 2,3,greedy,2.0,выкл,выкл,0.0,0.0,0,94
D2: max_neighbors = 5,3,greedy,5.0,выкл,выкл,0.0,0.0,0,94
